Corso di Laurea,Livello,Dipartimento,Classe,Accesso,Lingua,Sede
SCIENZE GASTRONOMICHE,Triennale / Ciclo Unico,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",L-26 R - Scienze e tecnologie alimentari,Libero,italiano,NOTO
"SCIENZE MOTORIE, SPORT E SALUTE",Triennale / Ciclo Unico,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",L-22 R - Scienze delle attività motorie e sportive,Programmato,italiano,MESSINA
SCIENZE NUTRACEUTICHE E ALIMENTI FUNZIONALI,Triennale / Ciclo Unico,"SCIENZE CHIMICHE, BIOLOGICHE, FARMACEUTICHE E AMBIENTALI",L-29 R - Scienze e tecnologie farmaceutiche,Libero,italiano,MESSINA
SCIENZE POLITICHE E DELLE RELAZIONI INTERNAZIONALI,Triennale / Ciclo Unico,SCIENZE POLITICHE E GIURIDICHE,L-36 R - Scienze politiche e delle relazioni internazionali,Libero,inglese italiano,MESSINA
"SCIENZE POLITICHE, AMMINISTRAZIONE E SERVIZI",Triennale / Ciclo Unico,SCIENZE POLITICHE E GIURIDICHE,L-16 R - Scienze dell'amministrazione e dell'organizzazione,Libero,italiano,SIRACUSA
"SCIENZE POLITICHE, AMMINISTRAZIONE E SERVIZI",Triennale / Ciclo Unico,SCIENZE POLITICHE E GIURIDICHE,L-16 R - Scienze dell'amministrazione e dell'organizzazione,Libero,italiano,MESSINA
"SCIENZE, TECNOLOGIE E SICUREZZA DELLE PRODUZIONI ANIMALI",Triennale / Ciclo Unico,SCIENZE VETERINARIE,L-38 R - Scienze zootecniche e tecnologie delle produzioni animali,Libero,italiano,MESSINA
TECNICA DELLA RIABILITAZIONE PSICHIATRICA,Triennale / Ciclo Unico,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",L/SNT2 - Classe delle lauree in Professioni sanitarie della riabilitazione,Programmato,italiano,MESSINA
TECNICHE AUDIOPROTESICHE,Triennale / Ciclo Unico,"PATOLOGIA UMANA DELL'ADULTO E DELL'ETA' EVOLUTIVA ""Gaetano Barresi""",L/SNT3 - Classe delle lauree in Professioni sanitarie tecniche,Programmato,italiano,MESSINA
TECNICHE DELLA PREVENZIONE NELL'AMBIENTE E NEI LUOGHI DI LAVORO,Triennale / Ciclo Unico,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",L/SNT4 - Classe delle lauree in Professioni sanitarie della prevenzione,Programmato,italiano,MESSINA
TECNICHE DI LABORATORIO BIOMEDICO,Triennale / Ciclo Unico,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",L/SNT3 - Classe delle lauree in Professioni sanitarie tecniche,Programmato,italiano,MESSINA
TECNICHE DI NEUROFISIOPATOLOGIA,Triennale / Ciclo Unico,MEDICINA CLINICA E SPERIMENTALE,L/SNT3 - Classe delle lauree in Professioni sanitarie tecniche,Programmato,italiano,MESSINA
"TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA",Triennale / Ciclo Unico,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",L/SNT3 - Classe delle lauree in Professioni sanitarie tecniche,Programmato,italiano,MESSINA
TERAPIA DELLA NEURO E PSICOMOTRICITA' DELL'ETA' EVOLUTIVA,Triennale / Ciclo Unico,"PATOLOGIA UMANA DELL'ADULTO E DELL'ETA' EVOLUTIVA ""Gaetano Barresi""",L/SNT2 - Classe delle lauree in Professioni sanitarie della riabilitazione,Programmato,italiano,MESSINA
TRANSNATIONAL AND EUROPEAN LEGAL STUDIES,Triennale / Ciclo Unico,GIURISPRUDENZA,L-14 R - Scienze dei servizi giuridici,Libero,inglese,MESSINA
BIOINGEGNERIA,Magistrale,INGEGNERIA,LM-21 R - Ingegneria biomedica,Libero,italiano,MESSINA
BIOLOGIA DELLA SALUTE DELLE TECNOLOGIE APPLICATE E DELLA NUTRIZIONE,Magistrale,"SCIENZE CHIMICHE, BIOLOGICHE, FARMACEUTICHE E AMBIENTALI",LM-6 R - Biologia,Libero,italiano,MESSINA
BIOLOGIA ED ECOLOGIA DELL'AMBIENTE MARINO COSTIERO,Magistrale,"SCIENZE CHIMICHE, BIOLOGICHE, FARMACEUTICHE E AMBIENTALI",LM-6 R - Biologia,Libero,inglese italiano,MESSINA
